Mula sa https://tl.wikipedia.org/wiki/Talaan_ng_mga_salitang_hiniram_ng_Tagalog

Abante 	Avante 	Pasulong, Pausad
Kulambo[56] 	kelambu (Malay, moskitero)
Lagari[57] 	gergaji (Malay, serutso)
Lunggati 	lung (Tagalog - salitang ugat, lungkot[8]:88) + hati (Malay, atay)
Luwalhati 	luwal (Tagalog, sa labas) + hati (Malay, atay)
Uluhati 	ulo (Tagalog) + hati (Malay, atay)
Pighati 	pedih (Malay, sakit) + hati (Malay, atay)
Pilak[58] 	perak (Malay, plata) (Talagang nagmula sa Khmer)
Pirali[59] 	pijar (Malay, borax)
Salaghati 	salag o salak (Tagalog, puno at pinatag) + hati (Malay, atay)
Takal[60] 	takar (Malay, panukat ng kapasidad para sa langis, atbp.)
Tanghali[61] 	tengah (Malay, kalahati) + hari (Malay, araw)
Tiyanak[62] 	puntianak (Malay, tumutukoy sa bampira, multo o katawang muling-binuhay na sumisipsip ng dugo)
Usap[63] 	ucap (Malay, pagbigkas)

Sanskrito

Agham 	Āgama (आगम) 	Pagtatamo ng kaalaman; siyensiya
Antala 	Antara (अन्तर) 	Tagal; puwang
Asal 	Ācāra (आचार) 	Paraan ng pagkilos; pag-uugali, gawi
Bahala 	Bhara (भार) 	Pasan; bigat; mabigat na trabaho
Balita 	Vārtā (वार्ता) 	Salaysay; ulat
Bansa 	Vaṃśa (वंश) 	Tubo ng kawayan; talaangkanan; dinastiya; lahi
Banyaga 	Vaṇijaka (वणिजक) 	Mangangalakal; negosyante
Basa 	Vaca (वच) 	Boses; pagsasalita
Bathala 	Batthara (भट्टार) 	Taong maharlika; kagalang-galang
Bihasa 	Abhyasa (अभ्यास) 	Kinaugalian
Budhi 	Bodhi (बोधि) 	Pag-unawa
Dawa[8]:73,191 	Yava (यव) 	Hordeum vulgare
Daya 	Dvaya (द्वय) 	Pagiging dalawahang-panig; kasinungalingan
Diwa 	Jīva (जीव) 	Ang prinsipyo ng buhay; napakahalagang hininga
Diwata 	Devata (देवता) 	Pagka-diyos
Dukha 	Dukkha (दुःख) 	Kalungkutan; karalitaan; kahirapan
Dusa 	Doṣa (दोष) 	Pinsala; kasiraan; masasamang bunga
Dusta 	Dūṣita (दूषित) 	Nadungisan; nahalay; nasaktan
Gadya 	Gaja (गज) 	Elepante
Ganda 	Gandha (गन्ध) 	Bango; halimuyak
Guro 	Guru (गुरु) 	Maestro; guro
Halaga 	Argha (अर्घ) 	Halaga
Halata 	Arthaya (अर्थय) 	Maramdaman
Haraya 	Hridaya (हृदय) 	Puso
Hina 	Hīna (हीन) 	Mas mahina/mababa kaysa sa; inabandona; kulang
Hiwaga 	Vihaga (विहग) 	Ibon
Kasubha 	Kusumbha (कुसुम्भ) 	Carthamus tinctorius
Kastuli 	Kastūrī (कस्तूरी) 	Abelmoschus moschatus
Katha 	Kathā (कथा) 	Isang mapagkunwaring kuwento; pabula
Katakata 	Pag-uulit ng Kathā (कथा) 	Kuwento; pabula
Kalapati; Palapati 	Pārāpataḥ (पारापत) 	Kalapati
Kuba 	Kubja (कुब्ज) 	Kuba
Kuta 	Kota (कोट) 	Muog; kuta
Ladya 	Raja (राज) 	Hari; pinuno; soberano
Lagundi 	Nirgundi (निर्गुण्डि) 	Vitex negundo
Laho 	Rāhu (राहु) 	Eklipse
Lasa 	Rasa (रस) 	Lasa; tikman
Likha 	Lekhā (लेखा) 	Pagguhit; pigura
Madla 	Mandala (मण्डल) 	Bilog; pulutong
Maharlika 	Maharddhika (महर्द्धिक) 	Maunlad
Makata 	Tag. ma- + kathā (कथा) 	Kuwento; pabula
Mukha 	Mukha (मुख) 	Mukha
Mula 	Mula (मूल) 	Batayan; saligan; pinagmulan; pinagsimulan
Mutya 	Mutya (मुत्य) 	Perlas
Paksa 	Paksha (पक्ष) 	Isang punto o bagay na pinagtatalakayan
Palibhasa 	Paribhasa (परिभाषा) 	Pagsasalita; pamimintas; pagsumbat
Parusa 	Tag. pa- + dusa, mula sa Sanskritong doṣa (दोष) 	
Patola 	Patola (पटोल) 	Trichosanthes dioica
Saksi 	Sākṣin (साक्षिन्) 	Testigo
Sakuna 	Zakuna (शकुन) 	Isang ibong nagbabadya
Salamuha 	Samuha (समूह) 	Pagtitipon; pulutong
Salanta 	Randa (रण्ड) 	Nalumpo; baldado
Salita 	Carita (चरित) 	Ugali; mga kilos; mga gawa; pakikipagsapalaran
Samantala 	Samantara (समान्तर) 	Agapay
Sampalataya 	Sampratyaya (सम्प्रत्यय) 	Tiwala; kumpiyansa
Sandata 	Saṃyatta (संयत्त) 	Handa; nakaalisto
Sigla 	Sīghra (शीघ्र) 	Mabilis; matulin
Suka 	Cukra (चुक्र) 	Suka
Sutla 	Sūtra (सूत्र) 	Sinulid; pisi; kawad
Tanikala 	Sṛṅkhala (शृङ्खल) 	Kadena
Tingga 	Tivra (तीव्र) 	Tingga; bakal; asero
Tsampaka 	Campaka (चम्पक) 	Magnolia champaca
Upang 	Upa (उप) 	Patungo, malapit sa

Tamil

Bagay[65] 	வாகை (Vagai) 	Uri, klase; kalakal; pag-aari; hanapbuhay
Baril[65] 	வெடில் (Veḍil) 	Pagsabog
Bilanggo[65] 	விலங்கு (Vilaṅgu) 	Kadena sa paa; posas; kadenahan
Gulay[65] 	குழை (Kulai) 	Lumambot, malamasa, lutung-luto
Kalikam[8]:302 	காரிக்கம் (kārikkam) 	Di-kuladong simpleng telang bulak
Kawal[65] 	காவல் (Kāval) 	Bantay; tanod
Kawali[65] 	குவளை (Kuvaḷai) 	Lalagayan na may bungangang malawak; tasa
Kiyapo[65] 	கயப்பு (Kayappū) 	Bulaklak na pantubig
Mangga[65] 	மாங்காய் (Māngāi) 	Hilaw na mangga
Malunggay[65] 	முருங்கை (Murungai) 	Moringa oleifera
Misay[65] 	மீசை (Mīcai) 	Bigote
Palisay[65] 	பரிசை (Paricai) 	Kalasag
Puto[65] 	புட்டு (Puttu) 	Isang uri ng minatamis
Tupa[8]:303 	ஆட்டுப்பட்டி (Āṭṭu-p-paṭṭi) 	Isang kawan ng tupa

Arabe at Persyano

Agimat 	عَزِيمَة (Arabeng `azimah: mutya, gayuma, pangkukulam) 	Azimat (mutya)
Alak 	عرق (Arabeng `araq: alak) 	Arak (alak)
Anakura[69] 	ناخوذا (Persyanong nakhoodha: kapitan ng barko) 	Nakhoda (kapitan ng barko)
Daulat 	دولة (Arabeng Dawlah: pag-ikot, pagbaliktad ng kapalaran) 	Daulat (kaunlaran, kaligayahan)
Gumamela 	جميلة (Arabeng Jamiilah: maganda) 	
Hukom 	حكم (Arabeng Ḥukm: kahatulan) 	Hukum (kahatulan, batas)
Katan 	ختان (Arabeng Khatān: pagtutuli) 	
Kupya 	كوفية (Arabeng Kuufiyyah: gora, keffieh) 	Kopiah (gora)
Malim 	معلم (Arabeng Mu`allim: guro) 	Malim (pilotong pandagat)
Mansigit 	مسجد (Arabeng Masjid: moske) 	
Paham 	فَهْم (Arabeng Fahm: pag-unawa) 	Faham (agham, pag-unawa)
Pangadyi 	Tag. pang- + حاجي (Arabeng 'Ḥājjī: isang peregrino sa Mecca) 	Pengajian (pagtula, pagbasa)
Pinggan[70] 	ﭙﻨﮔان (Persyanong Pingān: tasa, mangkok) 	Pinggan (plato, platito)
Salabat 	شربة (Arabeng Sharbah: anumang inumin na walang alak) 	
Salamat[71] 	سلامة (Persyanong Salāmah: salamat, mula sa Arabeng Salāmāt سلامت:

kapayapaan at pagpapala (pambati o pampasalamat)
	
Salapi 	صرف (Arabeng Ṣarf, magbayad, kumita) 	
Salawal[70] 	سروال (Persyanong Sarwaal, pantalon) 	Seluar (salawal, pantalon)
Siyak 	شيخ (Arabeng Shaykh, matanda, maestro, guro, sheik) 	Siak (tagapag-alaga ng moske)
Sumbali 	سبحل (Arabeng 'Sabḥala', sabihin o ulitin ang "Subhanallah") 	
Sunat 	سنة (Arabeng Sunnah, tradisyon) 	Sunat (pagsusunat)

Tsino

Angkak 	紅麴/âng-khak (H) 	Angkak
Apyan 	鴉片/a-phiàn (H) 	Opyo
Ate 	阿姊/á-chí (H) 	Papangalan sa panganay na babae
Baktaw 	墨斗/ba̍k-táu (H) 	Baktaw
Bakya 	木屐/ba̍k-kia̍h (H) 	Bakya
Bataw 	扁豆/pà-taŭ (H) 	Bataw (Lablab purpureus)
Batsoy 	肉水/bà-cuì (H) 	Putahe kung saan ang pangunahing sangkap ay lomo ng baboy
Bihon 	米粉/bî-hún (H) 	Bihon
Biko 	米糕/bí-kō (H) 	Pinatamis na bibingka
Bilawo[76] 	米樓/bí-lâu (H) 	Literal na "suson/antas ng bigas"
Bimpo[78] 	面布/bīn-pǒ (H) 	Bimpo
Bithay[8]:338[79] 	米篩/bi-thaî (H) 	Salaan ng bigas
Bitso[76] 	米棗/bí-chó (H) 	Kakaning prinito na gawa sa galapong
Betsin 	味精/bī-cheng (H) 	Betsin
Bonsay 	盆栽/phûn-chai (H)(To Japanese 盆栽 (Bonsai) 	Bonsay
Buwisit[80] 	無衣食/bō-uî-sít (H) 	Walang damit o pagkain
Diko 	二哥/dī-kô (H) 	Papangalan sa ikalawa sa panganay na lalaki
Ditse 	二姊/dī–cì (H) 	Papangalan sa ikalawa sa panganay na babae
Ginto[81] 	金條/kim-tiâu (H) 	Barang ginto
Goto[76] 	牛肚/gû-tǒ͘ (H) 	Goto
Hikaw 	耳鉤/hǐ-kau (H) 	Hikaw
Hopya 	好餅/hō-pià (H) 	Matamis na tinapay na may munggo
Hukbo 	服務/hôk-bū (H) 	Serbisyo
Husi 	富絲/hù-si (H) 	Algodong de-kalidad
Huwepe 	火把/huè-pĕ (H) 	Sulo
Huweteng 	花檔/huê-tĕng (H) 	Huweteng
Ingkong 	𪜶公/in-kông (H) 	Ang kanilang ama
Inso 	𪜶嫂/in-só (H) 	Hipag sa kuya
Intsik 	𪜶叔/in-chek/in-chiak (H) 	Ang kanyang/kanilang tito
Katay[76] 	共刣/kā-thâi (H) 	Katay
Kintsay 	芹菜/khîn-chaĭ (H) 	Apyo (Apium graveolens)
Kiti 	雞弟/ke-tǐ (H) 	Sisiw
Kutsay 	韭菜/khû-chaĭ (H) 	Kutsay (Allium ramosum)
Kusot 	鋸屑/kù-sùt (H) 	Piyaos
Kuya 	哥兄/ko͘–hiaⁿ (H) 	Papangalan sa nakatatandang kapatid na lalaki
Lawin 	老鷹/laū-yêng (H) 	Anumang ibon mula sa Accipitridae o Falconidae
Lawlaw[82] 	老/laû (H) 	Luma
Lithaw[83] 	犁頭/lé-thaú (H) 	Araro
Lomi 	滷麵/ló͘-mī (H) 	Lor mee - Tsinong pansit
Loryat 	鬧熱/lāu-dia̍t (H) 	Abalang; dinadagsa; maingay
Lumpiya 	潤餅/lûn-pià (H) 	Prinito o sariwang lumpiya
Mami 	肉麵/mà-mĭ (H) 	Karne at pansit sa sabaw
Maselan[84] 	ma- + 西儂/se-lâng (H) 	Taga-kanluran; Kanluranin
Miswa 	麵線/mī-sòaⁿ (H) 	Miswa - Tsinong inasnang pansit
Pansit 	便食/pân-si̍t (H) 	Putahe na madaling lutuin i.e. pansit
Pakyaw[85] 	跋繳/pák-kiaù (H) 	Ibigay sa mga bungkos
Paslang[86] 	拍死人/phah-sí-lāng (H) 	Ipatay
Petsay[87] 	白菜/pē-chaĭ (H) 	Petsay (Brassica rapa subsp. pekinensis)
Pesa 	白煠魚/pē-sà-hí (H) 	Simpleng pinakuluang isda
Pinse 	硼砂/piên-sē (H) 	Pinse
Pisaw 	匕首/pì-siù (H) 	Patalim
Puntaw 	糞斗/pùn-taù (H) 	Pandakot
Puthaw[88] 	斧頭/pú-thâu (H) 	Palakol
Sampan 	舢板/san-pán (H) 	Tsinong barko
Samyo[89] 	糝藥粉/sám+iôq+hùn (H) 	Magwisik ng gamot na pulbos
Sangko 	三哥/sâ-kô (H) 	Papangalan sa ikatlo sa panganay na lalaki
Sanse 	三姊/sâ–cì (H) 	Papangalan sa ikatlo sa panganay na babae
Singki 	新客/sin-kheh (H) 	Bagong bisita o suki
Sitaw 	青豆/chî-taŭ (H) 	Sitaw (Vigna unguiculata subsp. sesquipedalis)
Siyaho 	姐夫/tsiá-hu (H) 	Bayaw
Siyakoy 	油炸粿/iû-cha̍h-kóe (H) 	Youtiao
Siyansi 	煎匙/chian-sî (H) 	Siyansi
Sotanghon 	蘇打粉/so͘-táⁿ-hún (H) 	Sotanghon
Suki[90] 	主客/chù–khè (H) 	Mahalagang suki
Sungki[78] 	伸牙/chûn-khì (H) 	Ngiping nakausli
Susi 	鎖匙/só–sî (H) 	Susi
Suwahe 	沙蝦/suā-hé (H) 	Suwahe (Metapenaeus ensis)
Suya 	衰啊/soe-a (H) 	Pananalitang "Ang malas!"
Siyokoy 	水鬼/cuí-kuì (H) 	Espiritu ng tubig; demonyo ng tubig
Siyomay 	燒賣/siō-maĭ (H) 	Siyomai
Siyopaw 	燒包/siō-paŭ (H) 	Siyopaw
Taho 	豆花/taū-hû (H) 	Tokwa
Tahure (bar. tahuri) 	豆花/taū-hû (H) 	Tokwa
Tanga[91] 	蟲仔/thâng-á (H) 	Maliit na insekto/kulisap/uod
Tanglaw 	燈籠/tiêng-laú (H) 	Lampara; Ilawan
Tanso 	銅索/táng-sò (H) 	Alambreng tanso
Tawsi 	豆豉/tāu-si (H) 	Utaw na pinreserba sa toyo
Timsim (bar. tingsim) 	灯心/tiêng-sîm (H) 	Timsim
Tinghoy 	燈火/tiêng-huè (H) 	Kingki
Tikoy 	甜粿/tiⁿ-kóe (H) 	Tikoy
Tito[76] 	豬肚/ti-tǒ͘ (H) 	Tripa ng baboy
Toge 	豆芽/tāu-gê (H) 	Toge
Tokwa 	豆乾/taū-kuâ (H) 	Tokwa
Totso 	豆油醋魚/taū-iū-chò-hí (H) 	Isdang niluto sa toyo at suka
Toyo 	豆油/tāu–iû (H) 	Toyo
Tsaa 	茶仔/chhâ-á (H) 	Tsaa
Tutsang 	頭鬃/thâu-chang (H) 	Buhok
Upo 	瓠瓜/ō-pú (H) 	Upo (Lagenaria siceraria)
Utaw 	黑豆/ō-taŭ (H) 	Utaw (Glycine max)
Wansoy (bar. unsoy, yansoy) 	芫荽/iān-suî (H) 	Kulantro (Coriandrum sativum)

Hapones

Dorobo 	泥棒 (dorobō) 	Magnanakaw; mangloloob; tulisan
Dyak en poy[93] 	じゃん拳ぽん (jankenpon) 	Bato–bato–pik
Kampay 	乾杯 (kanpai) 	Tagay!
Karaoke 	カラオケ (karaoke) 	Karaoke
Karate 	空手 (karate) 	Karate
Katana 	刀 (katana) 	Katana; isang espadang Hapones
Katol 	蚊取り線香 (katorisenkō) 	Katol
Kimona 	着物 (kimono) 	Kimono (o iba pang trad. na kasuotang Hapones)
Kirey 	奇麗 (kirei) 	Maganda; kaibig-ibig; marikit
Kokang 	交換 (kōkan) 	Kambalatse
Pampan 	ぱんぱん (panpan) 	(balbal) Patutot (lalo na noong kakatapos lamang ng WWII)
Shabu 	シャブ (shabu) 	(balbal) Methamphetamine hydrochloride
Taksan-taksan 	沢山 (takusan) 	Marami
Tansan 	炭酸 (tansan) 	Karbonadong tubig
Tsunami 	津波 (tsunami) 	Tsunami

Nahuatl

Abukado 	Ahuacatl 	Aguacate
Akapulko (var. kapurko) 	Acapolco 	Acapulco
Alpasotis (var. pasotis) 	Epazotl 	Epazote
Atole[95] 	Atolli 	Atole
Atsuwete 	Achiotl 	Achiote
Guwatsinanggo 	Cuauchilnacatl 	Guachinango
Kakaw 	Cacáhuatl 	Cacao
Kakawati (bar. kakawate) 	Cacáhuatl 	Cacahuate
Kalatsutsi (bar. kalanotse) 	Cacaloxochitl 	Cacalosúchil
Kamatis 	Tomatl 	Tomate
Kamatsile 	Cuamóchitl 	Guamúchil
Kamote 	Camotli 	Camote
Koyote (var. kayote) 	Coyotl 	Coyote
Kulitis 	Quilitl 	Quelite
Mekate 	Mecatl 	Mecate
Mehiko 	Mēxihco 	Mexico
Nanay[96][97] 	Nantli 	Nana
Paruparo[98][94](bar. paparo) 	Papalotl 	Papalote
Petate[99] 	Petlatl 	Petate
Peyote 	Peyotl 	Peyote
Pitaka 	Petlacalli 	Petaca
Sakate 	Zacatl 	Zacate
Sangkaka 	Chiancaca 	Chancaca
Sapote 	Tzapotl 	Zapote
Sayote 	Chayotli 	Chayote
Sili 	Chīlli 	Chile
Singkamas 	Xicamatl 	Jicama
Sisiwa 	Chichiua 	Chichigua
Tamalis (bar. tamales) 	Tamalli 	Tamal
Tapangko[100] 	Tlapanco 	Tapanco
Tatay[96][101] 	Tahtli 	Tata
Tisa 	Tizatl 	Tiza
Tiyangge (bar. tsangge) 	Tianquiztli 	Tianguis
Tokayo (bar. tukayo, katukayo) 	Tocayotia 	Tocayo
Tsiklet (bar. tsikle) 	Chictli 	Chicle
Tsiko 	Tzicozapotl 	Chicozapote
Tsokolate 	Xocolatl 	Chocolate
